userName,score,at,content
adikebats team,5,2023-06-04 01:12:46,keren
Au ra,5,2023-06-04 01:12:27,"Suka,,, selama ini pesanan tidak pernah mengecewakan Dan seller nya amanah. Alhamdulillah semoga makin baik terus makin baik lagi dan lagi"
risna wati,5,2023-06-04 01:12:18,Sejauh ini layanan paling terpercaya yah di shopee. Ongkirpun murah.
bersama yt,1,2023-06-04 01:10:19,Shopepaynya g bs dpet gratis lg. Jd malas
andi kurnia,4,2023-06-04 01:09:46,"Sependapat dengan yg lain,app makin berat"
Iqbal Ramadhan,5,2023-06-04 01:07:18,Nice
Nurayu Suhaeni,2,2023-06-04 01:03:06,"Shopee sekarang udah ga kayak dulu. Lemot banget jadinya. Jaringan bagus dan spek hp besar seperti gak berguna kalau buka shopee. Pakai WiFi aja pun lemot, apalagi pakai data, astaghfirullah sekali lemotnya. *Mohon diperbaiki ya developer demi kenyamanan pengguna*"
ADISTI AZA,2,2023-06-04 01:00:07,Banyak iklan lu
Ayi Sukmara,4,2023-06-04 00:58:06,Semoga sukses buat shopee
Sunarti Narti,4,2023-06-04 00:57:35,shopee mantul
Effendy Lim,1,2023-06-04 00:53:13,"Kesal, Mode gelap tidak ada , sangat tidak nyaman dengan kondisi mata katarak"
Muhammad Kadafy,5,2023-06-04 00:49:07,Usahakan jasa pengantaran menggunakan Si cepat kalo shopee express kurang cepat & toko palsu/pengen naik ratting tapi gak ada penjualannya di banned aja(biar gak merugikan pembeli/buyer)
Hyuga Net,5,2023-06-04 00:47:46,oke
Wakiyatul Maysaroh,5,2023-06-04 00:47:43,bagus
boy Ahmad sanusi,5,2023-06-04 00:45:44,Saya gak mau ada syppy di hp saya dah pensiun tuk belanja gak mungkin bisa belanja sangat menggangu Saya lagi nonton you tube terganggu
Victor Alexander,4,2023-06-04 00:45:25,Sementara dulu 🙏
Chjhcgj V go k,5,2023-06-04 00:45:17,sagat bagus
Bay Bayangkara,1,2023-06-04 00:43:56,Lemot sekali yang tentunya akan berdampak untuk kecepatan chekout maupun checkin
Selvia Hanan,5,2023-06-04 00:43:03,mantap
mas dul,5,2023-06-04 00:38:57,Selama ini masih lancar semoga setrusnya ttep lancar
Siradit Aza,2,2023-06-04 00:38:56,Maaf Di kurangin bintangnya Jadi susah dan lemot sangat di sayangkan🙏🙏 🤦‍♂️Saya suka dengan aplikasi jual beli ini barangnya selalu original Sukses selalu semakin ditingkatkan lagi keaslianya Haturnhun shopee 🤗🙏👍👍👍👍👍👍👍
Nadlirin 60,5,2023-06-04 00:38:18,OK BAGUS SEMUANYA
Candra Gustian,2,2023-06-04 00:36:45,"saya kecewa barang rusak di jual di shopee,, beli kipas angin berharap anak bisa bawak kesekolah, eh ternyata nggak mau idup,,,, udah cet toko malah nggak ada respon sama sekali,, lap tangan udah di bayar tapi nggak datang2,, satu toko sama kipas,,"
Vito Azazel,5,2023-06-04 00:35:11,Keren
Haris Fadillah,5,2023-06-04 00:32:46,Barangnya tidak mengecewakan
faaritriy defano zaflan,4,2023-06-04 00:29:28,memang bagussss 👍👍👍🤐🤝🤝
Awan Suriawan,5,2023-06-04 00:28:48,"Belanja dishopee, memudahkan kami,"
Raditya Uty,2,2023-06-04 00:28:42,Saya kurangi bintangnya...koin shope nya gak bisa d tarik lg..d tambah leemoottt..
Yana Rizki,2,2023-06-04 00:28:42,"Shopee video udah bener,sekarang yang error,pada chat pembeli,pemberitahuan online pembeli nya ga jalan,offlin 4 hari,padahal pembeli aktif"
Surya Arif Darmawan99,1,2023-06-04 00:28:37,Spam iklan mulu... Ganggu
ANINDYAWATI PUTRI AYU UTAMI,5,2023-06-04 00:27:33,"Aplikasi ini sangat memudahkan saya untuk belanja,,pengirimannya jg cepat"
RENO,5,2023-06-04 00:25:55,Aplikasi nya bagus
Endang Iskandar,4,2023-06-04 00:25:09,Masih sedang blaja
Chandra Wijaya,5,2023-06-04 00:23:15,"Woww... Aplikasi yang sesuai kebutuhan untuk belanja online,dan banyak penawaran yang menarik di Shopee. Terima kasih Shopee. 🥰😘😍🤩"
Hendra Coolz,1,2023-06-04 00:21:31,Kenapa hp sya ada ikan shoppe
Ewik Anisah,2,2023-06-04 00:20:21,"Biaya penangananya makin lama makin besar aja,, aplikasinya juga lemot"
Wildan Putra Hutama,1,2023-06-04 00:19:51,Shoppe apa kali caper amat banyak iklan nya lagi download di chrome malah ada iklan shopee 11/12 sama lazada banyak iklan nya aneh gila gw mah di paksa belanja Ama shopee tll
Mumuh Muhidin,5,2023-06-04 00:19:06,bagus pelayananya
Hendi Setiadi,1,2023-06-04 00:18:33,"Ga jelas mental terus, sebelum update sesudah update sama aja.. copot pasang juga sama aja hadehh"
Mami,5,2023-06-04 00:16:09,Shopee sangat luar biasa. 🫰🫰🫰🫰
Ali As,1,2023-06-04 00:15:25,"Tidak konsisten sama sekali masa estimasi diterima otomatis diperpanjang dan paket tidak sampai-sampai, kalau sistem seperti itu akan membuat ekspedisi seenaknya sendiri mengantar paket"
Ai Apong,5,2023-06-04 00:11:05,Bagus dan langsung sampai
Natasya Ashilla zalta,1,2023-06-04 00:08:54,"Halo kk, maaf sy ganti bintangnya namun sy tidak dapat lagi memasukkan barang ke dalam keranjang saya (walau sudah dicoba berulang kali) boleh beri solusinya kk? Terimakasih. (TOLONG RESPONNYA KARENA MASIH TIDAK BISA)"
Sandi Guritamandala,5,2023-06-04 00:07:54,"Sangat membantu sekali, sangat murah dan gak ribet, Terlebih dengan komplain saya tidak bisa mengajukan spinjam sangat ditanggapi oleh pihak shoppe.Dan saat ini Alhamdulillah spinjam saya sudah DiAcc dan bisa dipakai.Tingkatkankan terus Agar pemakai aplikasi tidak kecewa.Refferensi sekali untuk semuaanya guys.....Silahkan download dan aktifkan akun mu.MANTULLLLLL"
kustini plg,2,2023-06-04 00:07:44,"Kenapa gratis ongkir min belanja 40rb gak bisa dipake padahal belanja udh lebih dr 100rb gratis ongkirnya cuma di potong 3rb,,"
Mayang Sari,5,2023-06-04 00:06:13,Mantap banget. Aplikasi yg sangat membantu.
Tika martha,1,2023-06-04 00:05:45,"Maaf tetap bintang 1. Mau cek tagihan payletter aja, nunggu lama yg muncul cuma tulisan oopps..memory kosong banyak, jaringan bagus, nunggu payletter kena denda kali, baru bisa dibuka😤"
Roman Syah,5,2023-06-04 00:02:44,Bagus semoga bermanpaat
Mhdbagus Wahyudhi,5,2023-06-04 00:01:08,Aplikasi ny sngt bagus
Fitri Ramadani,2,2023-06-04 00:00:00,"Shopee lama sama yang baru kok beda ya Lebih enak yang lama Sekarang shopee kayak banyak aturan yg menurut saya gak jelas Mau Co barang malah gak bisa ada peringatan (gak tau peringatan apa pokok GK jelas) Jadi gak bisa belanja dengan nyaman dan baik kayak dulu Plis perbaiki, kalau bisa tetep kayak shopee yang dulu Yang sekarang gak enak"
Alamm Murkaa,5,2023-06-03 23:57:56,Sangat suka dan belanja ngga ribet 😘😘😘😘😘😘
Ririn Pujianingsih,3,2023-06-03 23:57:36,"kenapa shopee loading sekalii , apa sedang gangguan hari ini ? saya mau bayar shopee pinjam dan spaylater gak bisa loading terus"
ayuuu ngrmdw,5,2023-06-03 23:56:29,okee
Akun Barusamsung,5,2023-06-03 23:54:27,Bismillah
Imam Mukiyin,3,2023-06-03 23:48:44,Baik
Ali Official,5,2023-06-03 23:46:26,Apk Shopee memang terbaik se Indonesia
Ndhif Arla,5,2023-06-03 23:43:36,Mudah
Sya Aja,4,2023-06-03 23:40:41,AGUS EKO
OM HERLI,5,2023-06-03 23:39:47,Shopee ia the best Shopee aplikasi belanja online nomer 1 di Indonesia Saya selalu puas dengan pelayanan dari shopee
Rifki Hidayat Setiawan,5,2023-06-03 23:37:54,"promo nya banyakin , jangan kalah sama toko sebelah"
Raffah Jambi,4,2023-06-03 23:36:17,Lumayan
AKBAR gumay,5,2023-06-03 23:34:10,Mantap
Fian Gaming,5,2023-06-03 23:33:35,Dah saya suka beli di shopee
MAHRUS EFFENDY,1,2023-06-03 23:33:34,Mohon maaf apa shopee gangguan ya? Saya buat mengisi shopee pay tidak bisa? Mohon bantuannya 🙏
Nurul triartika,4,2023-06-03 23:33:32,baik
Sahabat,4,2023-06-03 23:32:39,bagus
wiwin prastiwi,5,2023-06-03 23:29:17,😍
Syarip Hidayat,5,2023-06-03 23:27:52,Oke lah
