userName,score,at,content
Imam,1,2023-06-03 13:24:30,Lemooottt apk sangat beraaaatt apus juga ni lama lama
Suryo Gunanto,5,2023-06-03 13:24:01,Shopee masih yang terbaik....
kukyuii,1,2023-06-03 13:23:14,berat amat aplikasi ny
hendro ludirman,1,2023-06-03 13:22:31,Lemot parah ram masih tersisa 4gb memori internal masih 98gb apakah masih kurang ya hanya menjalan kan apk ini🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️
Fariz Firmansyah,5,2023-06-03 13:21:28,Pokoknya the best lah
Tesalonika Walewangko,5,2023-06-03 13:20:30,Baik
Taufik sudrajat,5,2023-06-03 13:19:50,Memuaskan
Kokoronashi 6382,5,2023-06-03 13:19:49,"Kenyamanan no 1, cuma di shopee aja.."
Nur Hayati,5,2023-06-03 13:19:34,Bagus banget buat blanja di utangin juga😁 tapie tetep bayarnya harus amanah🤗
jekky Chen,5,2023-06-03 13:19:14,Yaa begitulah
Jusniar 70,5,2023-06-03 13:19:08,"Sangat membantu untuk semua keperluan.....mantap, sukses selalu shopee"
Apriliani Gina rizki,1,2023-06-03 13:18:37,"Lemot parah bangettt,mau bayar pake shopepay aja butuh waktu 1jam makin kesini makin gajelasss"
Gilang Maisuriandi Putra,1,2023-06-03 13:18:10,"Kurir ny ga ramah, Seharusnya shopee punya fitur profile kurir biar yg beli kagak pusing lagi nunggu barang... Soalnya kurir disini nelpon biasa ujung²nya satu hari barang gagal karena no ku ga ke telpon... Seharusnya shopee kasih biodata kurir yang mengantar ke tempat tujuan.. sehingga jika pembeli ada kesalahan teknis, bisa menghungi kurir mengunakan alat komunikasi yg lain... Kayak whatsapp atau hp lain... Jadi barang ga asal batal aja sama kurirnya.. ditunggu pembaharuan nya..."
BEGUNDAL Bet,5,2023-06-03 13:18:06,Ok
Erina Damayanti,2,2023-06-03 13:18:04,"Maaf saya ubah karna 2 Minggu tidak aktif, padahal setiap hari aktif tuh shopee selalu dibuka. Pantesan ada yang beli tidak bisa, dgn alasan saya tidak aktif 2 Minggu, padahal selalu buka tiap hari."
Elsa Marsha andita,1,2023-06-03 13:17:28,saya tidak pesan barang tapi ke pesan sendiri 3 barang dong langsung aku hapus
Abdullah Fikri,5,2023-06-03 13:17:20,Sangat membantu terima kasih
Solatiah Tia,4,2023-06-03 13:16:42,Jarang dpt gratis ongkir yg 0rupiah
gideon markus,5,2023-06-03 13:16:22,pas
Mohammad Prayoga,1,2023-06-03 13:14:35,"Koinya udh susah payah ngumpulinya,belum juga digunakan mlh ilang"
Arul Arul,3,2023-06-03 13:12:19,Kurirnya gk Rama trus kan aku pesan COD malh disuruh ambil sendiri idihh
Adzkia Azzahra,5,2023-06-03 13:11:17,Lebih baik MB nya di kurangin ya👍
Farizy Anakcerdas,4,2023-06-03 13:10:02,Bagus dan baik tapi tolong jangan update terus
Maria Ulfa,1,2023-06-03 13:10:00,Aplikasi lemot kacau👎👎
fachruddin grezix,5,2023-06-03 13:09:48,𝐎𝐤 𝐬𝐡𝐨𝐩 𝐲𝐠 𝐭𝐞𝐭𝐩𝐞𝐫𝐜𝐚𝐲𝐚
Andi Tanjung,5,2023-06-03 13:09:29,Mantul
Danang Porwanto,5,2023-06-03 13:08:40,Mantap
Sopan Sopian,5,2023-06-03 13:08:13,Sangat Bagus
ferry hidayat,5,2023-06-03 13:08:04,"Aplikasi belanja online yang top banget, selalu ada ongkis kirim gratis. Top banget Shopee."
Martinus,5,2023-06-03 13:07:44,Shopee the best
Pengejar Akhirat,1,2023-06-03 13:07:33,"Shopee ibarat nya. Piramida di hancurkan oleh firaun nya sendiri. Mengecewakan pedagang,pembeli,dan afiliator,dengan kebijakan yg mengecewakan."
marina kusuma,1,2023-06-03 13:06:43,"Makin lama makin lemot, makin lemot, jgn bilang cek dulu sdh update blom, internet bagus tidak ya, device mencukupi tidak, mmg asli lemot, dan mmg gak bisa memperbaiki krn bisanya nyalahin penggunanya"
Yani Sopian,5,2023-06-03 13:06:24,Ok
Lapian Alvino,1,2023-06-03 13:05:55,"padahal bukan hp kentang ruang device saya masih banyak kapasitas, masih saja lemot buka apk shopee doang"
Fajrin Amri,5,2023-06-03 13:04:37,mantap
FRESTIFAN DAVID SAPUTRA,5,2023-06-03 13:02:31,aplikasi ini sangat bagus buat belanja online dan minum sekali penipuan
Arya Brar27,5,2023-06-03 13:01:12,Mantep
Yusuf,5,2023-06-03 13:00:57,Aplikasinya lemot banget
Kita Komputer,5,2023-06-03 12:59:57,Gassss
Yusuf Usup,5,2023-06-03 12:59:24,Sang at memuaskan
Asep Masri,5,2023-06-03 12:58:19,Mantap pokoknya
Tama Amar,5,2023-06-03 12:56:19,bagus
Edi Kurniawan,5,2023-06-03 12:56:09,Shopee oke banget
Indra Juans,5,2023-06-03 12:55:49,Lemot nya Shopee ....aplikasi makin ga tentu mau ini itu susah buka nya..keberatan untung kali ya Shopee ini
Sobana Mandala Putra,5,2023-06-03 12:55:48,Mantap buat belanja onlen
Ono Sarto,5,2023-06-03 12:55:07,Cakep
Tolopan tobing,2,2023-06-03 12:54:18,Saya tidak suka bagat
ADT family,5,2023-06-03 12:54:02,Mantaaap
Zaenab Zaenabbb,1,2023-06-03 12:53:41,baik
Saepuloh Siliwangi,5,2023-06-03 12:52:37,Bagus
Grisella Tatum,5,2023-06-03 12:52:20,Mantap
Lolly Popping,5,2023-06-03 12:52:02,Apknya bagus bgtt Saya sgt suka apk shopee 🥰👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 ayo instal apk inii
Toni Hidayat,5,2023-06-03 12:50:39,mantap
Dadi Anti,5,2023-06-03 12:50:18,ok
Happy Or Sad,1,2023-06-03 12:50:08,lamaa loading jugaa se abad
Maulani Dinitahardja,4,2023-06-03 12:48:48,baguss dehh buat belanja online
M Nuh,5,2023-06-03 12:48:29,Ok
Cusnul Imah,5,2023-06-03 12:48:20,puas blnja di shopee
Tata Nurjanah,3,2023-06-03 12:48:14,Ayo dong kalo buat Live shopee kenapa sinyalnya susah bgt si sekarang.... Buat bayar aja loading bgt ni ke pin nya kenapa skrg shopee lemot bgt??? Huh
Dedy Suherman,1,2023-06-03 12:48:03,Di menu tab Shopee pinjaman tdk ada..
Dio ORGALES,2,2023-06-03 12:47:28,Apk gak jelas ini hp spek Snapdragon 8gen2 pun lemot 👎
Budi Sulistyo,5,2023-06-03 12:47:25,is the best
Iwan Ajh,5,2023-06-03 12:46:27,aplikasi krennnnnnn
arman syarifudin,5,2023-06-03 12:46:07,Saya merasa dibantu oleh Shopee
Septi Fujiati,5,2023-06-03 12:46:04,kereen
Dodi Jamaludin Malik,5,2023-06-03 12:44:35,Ok
Elin k Khotimah,1,2023-06-03 12:42:46,"Shopee sekarang filter Untuk memilih daerahnya ga sesuai, daerah² lain yang ga kupilih tetep masuk ke beranda, mohon perbaikannya, susah kalau mau nyari barang di daerah yg dipilih"
Zianka Deandra,1,2023-06-03 12:41:34,apk nya udh oke tapi leg nya itu loh jaringan ga ada masalh tapi ngeleg
Raniaja 450,5,2023-06-03 12:41:10,Sangat merasa senang dan puas berbelanja di shopee
Fikri pauji Fikri,2,2023-06-03 12:40:44,Arti huhGG guy hari ggyXV mmW
Novriandi Ramdani Pratama,1,2023-06-03 12:40:19,"Gara"" lemot, uang saya udah terkuras, sampe skrng penjual masih belum dikemas barangnya, tapi gak bisa konfirmasi sebab lemot"
arifatun nahar,5,2023-06-03 12:40:16,Belanja trs dishope bahkan uda jdi member platinum tp voucher gratis ongkirnya sedikit gk kya sblm2nya.
Didin Ahmadin,1,2023-06-03 12:39:54,udah males gua nonton video shopee hadiahnya koin ga guna 👎
naifah,1,2023-06-03 12:39:20,iklan mulu. tp ini iklan tetiba pdhl lg ga buka aplikasi shopee nya:)
Ilham Mahmuda,1,2023-06-03 12:38:32,Aplilasinya sangat lemot padahal jaringan lancar.please perbaiki lagi aplikasinya.Aplikasinya sangat tidak direkomendasi untuk didownload
Al Oray,5,2023-06-03 12:38:05,Sukses terus shopee dan tetap jaya Saya senang blanja d shopee pelayanan nya bagus Dan pengantaran terpercaya
tony stark,5,2023-06-03 12:37:41,Keren
Ratna Sari,1,2023-06-03 12:36:53,"Kenapa ya sudah di perbarui ,tpi masih tidak bisa belanja ,tolong penjelasan nya ya terimakasih."
teguh mardhika,5,2023-06-03 12:36:49,Huhuy...
Nekopoi Nekopoi,5,2023-06-03 12:36:40,Goof
Taufik Hidayah,5,2023-06-03 12:36:25,👌😁👍
Christian Tonapa,1,2023-06-03 12:36:10,Mengganggu
Muhammad Basri,1,2023-06-03 12:35:25,lemot... padahal sinyal kuat internet kencang :( maaf bintangnya di kurangi
Anifa Saadom,5,2023-06-03 12:32:10,Sangat mudah untuk berbelanja
Moh Romadhon,5,2023-06-03 12:31:01,"Belanja lebih lengkap, lebih aman"
Hengki Supianto,5,2023-06-03 12:29:54,👍
Yinyang Thongceng,4,2023-06-03 12:29:52,Sangat membatu dn memudahkan dalam berblanja
Rick Lito,5,2023-06-03 12:27:45,Aman dan terpercaya
Zaenal Arifin,2,2023-06-03 12:27:36,aplikasi lemot. rak niat
Rahayu Wahyuni,4,2023-06-03 12:27:35,Barang yang saya beli d shoopy rata2 tidak sesuai dengan yang aslinya
Muali Mah,5,2023-06-03 12:26:14,"Suka dengan aplikasi Shopee. Begitu gampang cari barang, banyak pilihan ditampilkan, dan ada gratis ongkirnya juga. Semoga kedepan semakin okay layanan shopee 👍"
manusia rapuh,1,2023-06-03 12:23:55,Respon shopee kalo mau balikin barang di persulit
Syarief Wazjdi,1,2023-06-03 12:22:21,Download apk nya sudah terlalu berat & jd gagal trs
suradi,3,2023-06-03 12:22:02,iklan slalu nongol
KUNTJI Channel,2,2023-06-03 12:21:38,"Maaf shopee bintang saya kurangi,. Berat banget sekarang,. Sinyal oke, wifi ok, tapi kok lemot,. Padahal aq belanja online suka di shopee,. Apalagi videonya di ganti dengan koin, bukan Rupiah lagi,. Jadi males nonton video saya,. Ngabisin kuota tahu² cuma dapat koin,. Jangan gitu shopee,. Klo normal lagi saya naikin lgi bintang nya shopee"
Ryo Ma,1,2023-06-03 12:20:02,Force close ngelek benerin bugnya tolol
aive 8,3,2023-06-03 12:19:58,ram 8 internal 128 kok ngefreeze buka shoope 😂 banyak errornya juga
Ida Sinurat,5,2023-06-03 12:19:33,Cepat dan aman
Ari Pratama,4,2023-06-03 12:18:05,bagus
Kamarudin Saha,5,2023-06-03 12:17:29,ok
Aresma Lisda,4,2023-06-03 12:17:27,bisa ngasilin koin tiap hari
Maman Nurjaman,2,2023-06-03 12:14:44,"Katanyh ongkir gratis ko pangkas biaya ongkir nyh cuman setengah,, ada biaya penangan pula hadeuh Shoppe yg ku kenal bukan seperti yg dulu"
SAKBAN SAKBAN,5,2023-06-03 12:14:15,Baru pertama pesan lewat Shopee tapi pelayanannya mantab
Halimah 02,5,2023-06-03 12:14:15,Ok
Auu Quasio,5,2023-06-03 12:14:01,"Pihak shopee tolong tambahkan fitur pembayaran melalui dompet digital seperti Dana,Ovo dll.Supaya lebih memudahkan pembelian barang Terimakasih."
Mia Ati,5,2023-06-03 12:13:17,Pengalam belanja disini sangat puas
Laila Larasati,5,2023-06-03 12:11:38,cinta
Dhaka Partamana,5,2023-06-03 12:11:18,Sangat membantu
Ruspah Priyono,5,2023-06-03 12:10:17,Shopee aq suka kamu shopee.. Untung ada shopee semua teratasi.
Asep Syarif,5,2023-06-03 12:10:15,Good
Kherny Zakaria,1,2023-06-03 12:09:35,"JELEK BANGET! kenapa pas download gak sekalian sama fitur fiturnya? KAN BUKA SHOPEE NYA JUGA PAKE KUOTA! nyesel banget download ini, download fiturnya susah, kuota sampai habis cuma buat apk jelek ini."
Putra Banua,3,2023-06-03 12:09:34,Makin hari makin lemot.
Anggraeni Novie,5,2023-06-03 12:09:21,Top markotop
Bunga Julianti,5,2023-06-03 12:09:12,Shopee tetap terbaik
Mamluk Poll,3,2023-06-03 12:08:23,Kadang lemot shopee ini..
Meli Dian,4,2023-06-03 12:08:23,cepat prosesnya
Asheryee,1,2023-06-03 12:07:58,Sering banget update tapi lemotnya KEBANGETAN!!! GILA!
Sugi Arti,3,2023-06-03 12:07:29,Shopee kalo bisa ganti pengiriman jangan pake jnt dan jne karna karyawannya brengsek2
Madah Mahda,5,2023-06-03 12:07:11,Ok
Ujang Harmadi,5,2023-06-03 12:06:56,"Cepat, tapi sekarang sering lemot...tlg di perbaiki"
Darge,5,2023-06-03 12:06:49,Mantap dan mantap
Fikri Ramadan,2,2023-06-03 12:06:15,Iya ni Shopie makin lama makin gini
siska Citrawardany,5,2023-06-03 12:05:58,Bagus gercep
Muchamad Fauzi,5,2023-06-03 12:05:01,Barang gak ngecewakan
Maria Jessica,1,2023-06-03 12:04:26,"Kalo download,jadi byk iklan Ga usah bikin iklan byk byk ,pusing kepala ku gr gr kelen"
Gita Chandra Perwira,1,2023-06-03 12:04:25,"Kecewa dengan kurir. Kita nanya baik baik, dia malah nyolot."
Puja AST,5,2023-06-03 12:04:10,"Oke sih, tapi tingkatkan lagi kestabilan app nya.. agak sdikit lelet"
Nursinta Nur,4,2023-06-03 12:02:08,Wohhh
Wanas Saputra,5,2023-06-03 12:01:03,Aplikasi ny sangat bgus pengiriman ny jg cepat dan murah
ishol alhisyam,4,2023-06-03 12:00:13,Bagus
Novan Dwi,5,2023-06-03 12:00:05,Mantap pokoknya
Nouval Abyan nandana,5,2023-06-03 11:59:37,sayang di SPay leter nya gabisa di gunain gajelas apa alasan nya
Rajiman Chanel,4,2023-06-03 11:58:23,Cepat dan sesuai.
aceng rustandi,5,2023-06-03 11:57:22,mantap sukses slalu shopee
najaemin,1,2023-06-03 11:57:09,"Menurut saya shopee sekarang lebih sedikit pelayanan baiknya dri pada sebelum² nya,tiga kali paket saya belanja online disini selalu diretur tiba² dari pihak ekspedisi,kemudian apk nya berat,sering terjadi juga mendapat produk tidak sesuai pada deskripsi toko,tolong admin. Kalau bisa di pilah lagi orang2 yang mau buka usaha nya di shopee🙏🏻"
Kelly Saputri,4,2023-06-03 11:56:28,Sangat membantu pencarian barang di seluruh Nusantara
Anisa Anisa,5,2023-06-03 11:55:05,ok
Sarsiah Putri,5,2023-06-03 11:54:45,Aplikasi nya bermanfaat
Boby Faturahman,1,2023-06-03 11:54:45,Saya member platinum kecewa dengan shopee yang sekarang makin ribet transfer ke bank swasta jadi g bisa
Fatkhur Roji,5,2023-06-03 11:50:38,Aplikasi akurat dan terpercaya.
anak Soleha,5,2023-06-03 11:49:59,"Suka banget Belanja pakai shoppe apalagi kalau dapat gratis ongkir nol rupiah uh suka banget, makasih shoppe karenamu aku jadi mudah belanja cod gratis ongkir pertahankan ya 😍😍😍😍😍"
Javanese Spa,5,2023-06-03 11:48:05,Aplikasi yg sangat bermanfaat
Fachrizal Abdullah,5,2023-06-03 11:47:34,Shopee pengiriman ya selalu cepat 👍👍👍
Tunggal Santoso,1,2023-06-03 11:46:25,Aduuh habis di update kok tambah amburaduuul gini apl nya
Irsyad Evano,5,2023-06-03 11:46:24,"Pelayanan sangat memuaskan, barang murah-murah"
Dinda Wacita,5,2023-06-03 11:46:15,Good application. Thank you so much to help me get cheeper prizes when shopping.
Gunawan Awan,5,2023-06-03 11:45:37,shoppe oke
Ahmad Khotim fz,3,2023-06-03 11:45:02,Pengiriman sekarang jadi lelet .. Kelamaan
Muhammad Haekal,1,2023-06-03 11:45:00,Lemotttttt
Muhamad Ayub,2,2023-06-03 11:44:22,Apa bnr shophe bisa memberi keberuntungan terutama utk yg membutuh kan
Ahmad Jnwr,1,2023-06-03 11:42:45,"Aplikasi agak aneh nih, orang ga instal instal sendiri"
Rashya Emran,2,2023-06-03 11:42:41,Kenapa yh mau aktifkan shoppepayletrr GX bisa..udh tiga kali gagal trus padahal bnr...bantu sya dong.aktifka. Shoppe leter Susan bngt .🥵🥵🥵😡🥴 Dan perbaiki kelemotan aplikasi nya boss
